,counts
2019-01-17 21:00:00+00:00,18785.0
2019-01-17 22:00:00+00:00,18555.0
2019-01-17 23:00:00+00:00,18654.0
2019-01-18 00:00:00+00:00,18739.0
2019-01-18 01:00:00+00:00,18753.0
2019-01-18 02:00:00+00:00,18731.0
2019-01-18 03:00:00+00:00,18590.0
2019-01-18 04:00:00+00:00,18534.0
2019-01-18 05:00:00+00:00,18674.0
2019-01-18 06:00:00+00:00,18657.0
2019-01-18 07:00:00+00:00,18711.0
2019-01-18 08:00:00+00:00,18753.0
2019-01-18 09:00:00+00:00,18738.0
2019-01-18 10:00:00+00:00,18777.0
2019-01-18 11:00:00+00:00,18617.0
2019-01-18 12:00:00+00:00,18622.0
2019-01-18 13:00:00+00:00,18826.0
2019-01-18 14:00:00+00:00,18720.0
2019-01-18 15:00:00+00:00,18698.0
2019-01-18 16:00:00+00:00,18991.0
2019-01-18 17:00:00+00:00,18883.0
2019-01-18 18:00:00+00:00,18760.0
2019-01-18 19:00:00+00:00,18816.0
2019-01-18 20:00:00+00:00,18575.0
2019-01-18 21:00:00+00:00,18571.0
2019-01-18 22:00:00+00:00,18618.0
2019-01-18 23:00:00+00:00,18645.0
2019-01-19 00:00:00+00:00,18772.0
2019-01-19 01:00:00+00:00,18626.0
2019-01-19 02:00:00+00:00,18740.0
2019-01-19 03:00:00+00:00,18653.0
2019-01-19 04:00:00+00:00,18624.0
2019-01-19 05:00:00+00:00,18850.0
2019-01-19 06:00:00+00:00,18437.0
2019-01-19 07:00:00+00:00,18872.0
2019-01-19 08:00:00+00:00,18931.0
2019-01-19 09:00:00+00:00,19005.0
2019-01-19 10:00:00+00:00,18919.0
2019-01-19 11:00:00+00:00,19019.0
2019-01-19 12:00:00+00:00,18955.0
2019-01-19 13:00:00+00:00,19286.0
2019-01-19 14:00:00+00:00,18954.0
2019-01-19 15:00:00+00:00,18937.0
2019-01-19 16:00:00+00:00,18991.0
2019-01-19 17:00:00+00:00,18964.0
2019-01-19 18:00:00+00:00,19478.0
2019-01-19 19:00:00+00:00,19022.0
2019-01-19 20:00:00+00:00,19076.0
2019-01-19 21:00:00+00:00,19077.0
2019-01-19 22:00:00+00:00,19121.0
2019-01-19 23:00:00+00:00,18960.0
2019-01-20 00:00:00+00:00,19093.0
2019-01-20 01:00:00+00:00,19255.0
2019-01-20 02:00:00+00:00,19214.0
2019-01-20 03:00:00+00:00,19220.0
2019-01-20 04:00:00+00:00,19338.0
2019-01-20 05:00:00+00:00,19474.0
2019-01-20 06:00:00+00:00,19290.0
2019-01-20 07:00:00+00:00,19040.0
2019-01-20 08:00:00+00:00,19285.0
2019-01-20 09:00:00+00:00,19105.0
2019-01-20 10:00:00+00:00,19452.0
2019-01-20 11:00:00+00:00,19002.0
2019-01-20 12:00:00+00:00,19261.0
2019-01-20 13:00:00+00:00,19149.0
2019-01-20 14:00:00+00:00,19055.0
2019-01-20 15:00:00+00:00,19265.0
2019-01-20 16:00:00+00:00,19088.0
2019-01-20 17:00:00+00:00,18905.0
2019-01-20 18:00:00+00:00,19186.0
2019-01-20 19:00:00+00:00,18871.0
2019-01-20 20:00:00+00:00,19153.0
2019-01-20 21:00:00+00:00,19197.0
2019-01-20 22:00:00+00:00,19170.0
2019-01-20 23:00:00+00:00,18736.0
2019-01-21 00:00:00+00:00,19022.0
2019-01-21 01:00:00+00:00,18847.0
2019-01-21 02:00:00+00:00,18765.0
2019-01-21 03:00:00+00:00,18920.0
2019-01-21 04:00:00+00:00,18727.0
2019-01-21 05:00:00+00:00,18794.0
2019-01-21 06:00:00+00:00,18955.0
2019-01-21 07:00:00+00:00,18679.0
2019-01-21 08:00:00+00:00,18974.0
2019-01-21 09:00:00+00:00,18847.0
2019-01-21 10:00:00+00:00,19025.0
2019-01-21 11:00:00+00:00,18972.0
2019-01-21 12:00:00+00:00,18674.0
2019-01-21 13:00:00+00:00,18654.0
2019-01-21 14:00:00+00:00,18626.0
2019-01-21 15:00:00+00:00,18320.0
2019-01-21 16:00:00+00:00,18622.0
2019-01-21 17:00:00+00:00,18890.0
2019-01-21 18:00:00+00:00,18587.0
2019-01-21 19:00:00+00:00,18480.0
2019-01-21 20:00:00+00:00,18689.0
2019-01-21 21:00:00+00:00,18486.0
2019-01-21 22:00:00+00:00,18396.0
2019-01-21 23:00:00+00:00,18802.0
2019-01-22 00:00:00+00:00,18416.0
2019-01-22 01:00:00+00:00,18694.0
2019-01-22 02:00:00+00:00,18603.0
2019-01-22 03:00:00+00:00,18459.0
2019-01-22 04:00:00+00:00,18429.0
2019-01-22 05:00:00+00:00,18643.0
2019-01-22 06:00:00+00:00,18608.0
2019-01-22 07:00:00+00:00,18606.0
2019-01-22 08:00:00+00:00,18481.0
2019-01-22 09:00:00+00:00,18312.0
2019-01-22 10:00:00+00:00,18423.0
2019-01-22 11:00:00+00:00,18408.0
2019-01-22 12:00:00+00:00,18307.0
2019-01-22 13:00:00+00:00,18317.0
2019-01-22 14:00:00+00:00,18291.0
2019-01-22 15:00:00+00:00,18653.0
2019-01-22 16:00:00+00:00,18432.0
2019-01-22 17:00:00+00:00,18267.0
2019-01-22 18:00:00+00:00,18501.0
2019-01-22 19:00:00+00:00,18607.0
2019-01-22 20:00:00+00:00,18557.0
2019-01-22 21:00:00+00:00,18386.0
2019-01-22 22:00:00+00:00,18476.0
2019-01-22 23:00:00+00:00,18358.0
2019-01-23 00:00:00+00:00,18507.0
2019-01-23 01:00:00+00:00,18498.0
2019-01-23 02:00:00+00:00,18434.0
2019-01-23 03:00:00+00:00,18703.0
2019-01-23 04:00:00+00:00,18354.0
2019-01-23 05:00:00+00:00,18718.0
2019-01-23 06:00:00+00:00,18710.0
2019-01-23 07:00:00+00:00,18395.0
2019-01-23 08:00:00+00:00,18701.0
2019-01-23 09:00:00+00:00,18270.0
2019-01-23 10:00:00+00:00,18579.0
2019-01-23 11:00:00+00:00,18554.0
2019-01-23 12:00:00+00:00,18624.0
2019-01-23 13:00:00+00:00,18649.0
2019-01-23 14:00:00+00:00,18430.0
2019-01-23 15:00:00+00:00,18482.0
2019-01-23 16:00:00+00:00,18699.0
2019-01-23 17:00:00+00:00,18775.0
2019-01-23 18:00:00+00:00,18612.0
2019-01-23 19:00:00+00:00,18866.0
2019-01-23 20:00:00+00:00,18950.0
2019-01-23 21:00:00+00:00,18836.0
2019-01-23 22:00:00+00:00,19085.0
2019-01-23 23:00:00+00:00,19168.0
2019-01-24 00:00:00+00:00,18850.0
2019-01-24 01:00:00+00:00,18833.0
2019-01-24 02:00:00+00:00,19017.0
2019-01-24 03:00:00+00:00,19063.0
2019-01-24 04:00:00+00:00,18926.0
2019-01-24 05:00:00+00:00,18822.0
2019-01-24 06:00:00+00:00,18889.0
2019-01-24 07:00:00+00:00,18946.0
2019-01-24 08:00:00+00:00,19051.0
2019-01-24 09:00:00+00:00,19119.0
2019-01-24 10:00:00+00:00,19144.0
2019-01-24 11:00:00+00:00,19147.0
2019-01-24 12:00:00+00:00,19113.0
2019-01-24 13:00:00+00:00,18937.0
2019-01-24 14:00:00+00:00,19060.0
2019-01-24 15:00:00+00:00,18959.0
2019-01-24 16:00:00+00:00,18857.0
2019-01-24 17:00:00+00:00,19246.0
