date,mslp,tmpf,counts
2024-02-26 22:00:00+00:00,1010.6,73.0,14308.0
2024-02-27 00:00:00+00:00,1010.5,69.4,14387.0
2024-02-27 01:00:00+00:00,1010.8,67.0,14553.0
2024-02-27 02:00:00+00:00,1011.1,64.6,14357.0
2024-02-27 03:00:00+00:00,1010.4,64.6,14467.0
2024-02-27 04:00:00+00:00,1009.9,60.0,14281.0
2024-02-27 05:00:00+00:00,1009.5,57.6,14514.0
2024-02-27 06:00:00+00:00,1007.9,60.0,14426.0
2024-02-27 07:00:00+00:00,1008.2,56.5,14595.0
2024-02-27 08:00:00+00:00,1007.5,55.0,14378.0
2024-02-27 09:00:00+00:00,1006.4,55.0,14545.0
2024-02-27 10:00:00+00:00,1006.4,55.8,14640.0
2024-02-27 11:00:00+00:00,1007.0,55.6,14568.0
2024-02-27 12:00:00+00:00,1007.0,55.2,14440.0
2024-02-27 13:00:00+00:00,1007.4,59.0,14591.0
2024-02-27 14:00:00+00:00,1008.1,59.0,14543.0
2024-02-27 15:00:00+00:00,1008.5,63.5,14520.0
2024-02-27 16:00:00+00:00,1008.8,64.8,14458.0
2024-02-27 17:00:00+00:00,1008.1,67.6,14533.0
2024-02-27 19:00:00+00:00,1006.0,68.4,14555.0
2024-02-27 20:00:00+00:00,1005.3,69.4,15007.0
2024-02-27 21:00:00+00:00,1005.3,70.0,14697.0
2024-02-27 22:00:00+00:00,1005.0,69.6,14669.0
2024-02-27 23:00:00+00:00,1005.3,68.0,14565.0
2024-02-28 00:00:00+00:00,1007.3,65.7,14497.0
2024-02-28 01:00:00+00:00,1008.0,63.3,14618.0
2024-02-28 02:00:00+00:00,1008.7,62.0,14684.0
2024-02-28 03:00:00+00:00,1010.1,59.7,14535.0
2024-02-28 04:00:00+00:00,1010.8,57.7,14569.0
2024-02-28 05:00:00+00:00,1011.5,54.0,14386.0
2024-02-28 06:00:00+00:00,1012.2,54.0,14528.0
2024-02-28 07:00:00+00:00,1012.8,49.0,14666.0
2024-02-28 08:00:00+00:00,1012.9,51.3,14595.0
2024-02-28 09:00:00+00:00,1013.2,48.6,14333.0
2024-02-28 10:00:00+00:00,1013.5,48.0,14247.0
2024-02-28 11:00:00+00:00,1014.8,43.5,14477.0
2024-02-28 12:00:00+00:00,1016.1,41.0,14407.0
2024-02-28 13:00:00+00:00,1017.4,40.6,14420.0
2024-02-28 14:00:00+00:00,1018.2,46.6,14260.0
2024-02-28 15:00:00+00:00,1018.2,51.0,14365.0
2024-02-28 16:00:00+00:00,1018.3,55.0,14419.0
2024-02-28 17:00:00+00:00,1018.9,57.0,14505.0
2024-02-28 18:00:00+00:00,1018.6,58.5,14331.0
2024-02-28 19:00:00+00:00,1018.9,58.0,14492.0
2024-02-28 20:00:00+00:00,1018.5,56.0,14459.0
2024-02-28 21:00:00+00:00,1018.5,55.4,14428.0
2024-02-28 22:00:00+00:00,1017.4,56.0,14895.0
2024-02-28 23:00:00+00:00,1017.4,55.4,14321.0
2024-02-29 00:00:00+00:00,1018.4,51.0,14354.0
2024-02-29 01:00:00+00:00,1019.0,49.0,14584.0
2024-02-29 02:00:00+00:00,1018.4,48.6,14564.0
2024-02-29 03:00:00+00:00,1018.4,47.3,14414.0
2024-02-29 04:00:00+00:00,1019.1,45.0,14385.0
2024-02-29 05:00:00+00:00,1019.5,42.0,14322.0
2024-02-29 06:00:00+00:00,1018.8,41.7,14570.0
2024-02-29 07:00:00+00:00,1019.1,41.7,14490.0
2024-02-29 08:00:00+00:00,1019.4,39.2,14754.0
2024-02-29 09:00:00+00:00,1019.1,37.6,14514.0
2024-02-29 10:00:00+00:00,1018.7,37.8,14543.0
2024-02-29 11:00:00+00:00,1019.1,37.0,14403.0
2024-02-29 12:00:00+00:00,1019.7,37.6,14516.0
2024-02-29 13:00:00+00:00,1020.7,38.0,14256.0
2024-02-29 14:00:00+00:00,1020.8,39.6,14668.0
2024-02-29 15:00:00+00:00,1020.8,43.0,14655.0
2024-02-29 16:00:00+00:00,1020.8,44.2,14645.0
2024-02-29 17:00:00+00:00,1021.1,46.0,14358.0
2024-02-29 18:00:00+00:00,1021.1,46.4,14840.0
2024-02-29 19:00:00+00:00,1020.1,47.0,14481.0
2024-02-29 20:00:00+00:00,1019.4,50.7,14593.0
2024-02-29 21:00:00+00:00,1018.7,51.8,14519.0
2024-02-29 22:00:00+00:00,1018.4,54.0,14690.0
2024-02-29 23:00:00+00:00,1018.3,53.0,14226.0
2024-03-01 00:00:00+00:00,1018.0,52.0,14804.0
2024-03-01 01:00:00+00:00,1018.7,49.0,14543.0
2024-03-01 02:00:00+00:00,1019.0,46.2,14489.0
2024-03-01 03:00:00+00:00,1019.4,43.3,14586.0
2024-03-01 04:00:00+00:00,1019.7,43.3,14462.0
2024-03-01 05:00:00+00:00,1019.0,42.4,14664.0
2024-03-01 06:00:00+00:00,1019.4,37.8,14695.0
2024-03-01 07:00:00+00:00,1019.4,37.0,14542.0
2024-03-01 08:00:00+00:00,1018.7,36.5,14676.0
2024-03-01 09:00:00+00:00,1018.7,35.2,14547.0
2024-03-01 10:00:00+00:00,1018.7,33.6,14591.0
2024-03-01 11:00:00+00:00,1018.7,35.0,14434.0
2024-03-01 12:00:00+00:00,1019.0,36.7,14461.0
2024-03-01 13:00:00+00:00,1020.1,35.0,14288.0
2024-03-01 14:00:00+00:00,1020.4,41.0,14375.0
2024-03-01 15:00:00+00:00,1020.1,48.0,14512.0
2024-03-01 16:00:00+00:00,1019.8,51.6,14383.0
2024-03-01 17:00:00+00:00,1019.5,57.7,14423.0
2024-03-01 18:00:00+00:00,1019.1,60.6,14284.0
2024-03-01 19:00:00+00:00,1018.1,63.5,14458.0
2024-03-01 20:00:00+00:00,1017.0,64.2,14550.0
2024-03-01 21:00:00+00:00,1016.3,66.0,14401.0
2024-03-01 22:00:00+00:00,1015.6,66.7,14480.0
2024-03-01 23:00:00+00:00,1015.0,67.0,14427.0
2024-03-02 00:00:00+00:00,1015.0,65.3,14583.0
2024-03-02 01:00:00+00:00,1015.9,60.8,14546.0
2024-03-02 02:00:00+00:00,1016.7,59.0,14247.0
2024-03-02 03:00:00+00:00,1017.1,57.2,14237.0
2024-03-02 04:00:00+00:00,1016.8,55.4,14400.0
2024-03-02 05:00:00+00:00,1016.5,53.0,14448.0
2024-03-02 06:00:00+00:00,1015.9,52.0,14332.0
2024-03-02 07:00:00+00:00,1016.1,44.0,14529.0
2024-03-02 08:00:00+00:00,1015.8,43.3,14411.0
2024-03-02 09:00:00+00:00,1015.1,43.7,14553.0
2024-03-02 10:00:00+00:00,1014.5,45.5,14486.0
2024-03-02 11:00:00+00:00,1014.8,45.0,14661.0
2024-03-02 12:00:00+00:00,1014.4,46.2,14429.0
2024-03-02 13:00:00+00:00,1015.4,45.7,14558.0
2024-03-02 14:00:00+00:00,1015.5,50.5,14634.0
2024-03-02 15:00:00+00:00,1015.2,57.0,14542.0
2024-03-02 16:00:00+00:00,1014.9,62.2,14479.0
2024-03-02 17:00:00+00:00,1014.2,65.5,14374.0
2024-03-02 18:00:00+00:00,1013.2,68.4,14419.0
2024-03-02 19:00:00+00:00,1012.8,70.0,14639.0
2024-03-02 20:00:00+00:00,1011.7,71.2,14636.0
2024-03-02 21:00:00+00:00,1010.7,71.6,14600.0
2024-03-02 22:00:00+00:00,1010.0,71.2,14760.0
2024-03-02 23:00:00+00:00,1010.0,70.3,14624.0
2024-03-03 00:00:00+00:00,1010.3,67.0,14702.0
2024-03-03 01:00:00+00:00,1010.9,62.0,14647.0
2024-03-03 02:00:00+00:00,1010.6,60.3,14771.0
2024-03-03 03:00:00+00:00,1010.3,56.3,14578.0
2024-03-03 04:00:00+00:00,1011.0,53.0,14959.0
2024-03-03 05:00:00+00:00,1010.2,59.0,14869.0
2024-03-03 06:00:00+00:00,1010.2,60.0,14782.0
2024-03-03 07:00:00+00:00,1010.2,59.7,14574.0
