date,station,alti,tmpf,counts12,counts13,counts23
2024-07-17 12:00:00+00:00,VCBI,29.74,80.6,7572.0,3959.0,7805.0
2024-07-17 13:00:00+00:00,VCBI,29.8,80.6,7691.0,3987.0,7904.0
2024-07-17 14:00:00+00:00,VCBI,29.83,80.6,7696.0,4013.0,7877.0
2024-07-17 15:00:00+00:00,VCBI,29.83,82.4,7795.0,4016.0,7877.0
2024-07-17 16:00:00+00:00,VCBI,29.85,82.4,7769.0,3988.0,7886.0
2024-07-17 17:00:00+00:00,VCBI,29.85,82.4,7466.0,3972.0,7763.0
2024-07-17 18:00:00+00:00,VCBI,29.85,82.4,7624.0,3987.0,7812.0
2024-07-17 19:00:00+00:00,VCBI,29.83,82.4,7492.0,3885.0,7749.0
2024-07-17 20:00:00+00:00,VCBI,29.8,82.4,7513.0,3853.0,7629.0
2024-07-17 21:00:00+00:00,VCBI,29.8,82.4,7494.0,3902.0,7604.0
2024-07-17 22:00:00+00:00,VCBI,29.77,80.6,7462.0,3910.0,7683.0
2024-07-17 23:00:00+00:00,VCBI,29.77,80.6,7336.0,3724.0,7450.0
2024-07-18 00:00:00+00:00,VCBI,29.77,80.6,7643.0,3936.0,7802.0
2024-07-18 01:00:00+00:00,VCBI,29.8,80.6,7672.0,3977.0,7831.0
2024-07-18 02:00:00+00:00,VCBI,29.8,82.4,7458.0,3922.0,7637.0
2024-07-18 03:00:00+00:00,VCBI,29.83,84.2,7515.0,3976.0,7799.0
2024-07-18 04:00:00+00:00,VCBI,29.83,84.2,7706.0,3984.0,7823.0
2024-07-18 05:00:00+00:00,VCBI,29.85,86.0,7498.0,3894.0,7604.0
2024-07-18 06:00:00+00:00,VCBI,29.83,84.2,7647.0,3992.0,7738.0
2024-07-18 07:00:00+00:00,VCBI,29.8,84.2,7458.0,3973.0,7835.0
2024-07-18 08:00:00+00:00,VCBI,29.8,86.0,7469.0,3912.0,7704.0
2024-07-18 09:00:00+00:00,VCBI,29.77,86.0,7720.0,4031.0,7894.0
2024-07-18 10:00:00+00:00,VCBI,29.74,86.0,7470.0,3881.0,7778.0
2024-07-18 11:00:00+00:00,VCBI,29.74,86.0,7634.0,3991.0,7747.0
2024-07-18 12:00:00+00:00,VCBI,29.77,84.2,7414.0,3921.0,7729.0
2024-07-18 13:00:00+00:00,VCBI,29.77,82.4,7566.0,3999.0,7774.0
2024-07-18 14:00:00+00:00,VCBI,29.8,82.4,7559.0,4008.0,7736.0
2024-07-18 15:00:00+00:00,VCBI,29.8,82.4,7590.0,3990.0,7822.0
2024-07-18 16:00:00+00:00,VCBI,29.83,82.4,7544.0,4004.0,7779.0
2024-07-18 17:00:00+00:00,VCBI,29.83,82.4,7609.0,3880.0,7718.0
2024-07-18 18:00:00+00:00,VCBI,29.8,82.4,7642.0,3868.0,7679.0
2024-07-18 19:00:00+00:00,VCBI,29.8,82.4,7450.0,3886.0,7593.0
2024-07-18 20:00:00+00:00,VCBI,29.77,80.6,7531.0,3892.0,7774.0
2024-07-18 21:00:00+00:00,VCBI,29.74,82.4,7577.0,4005.0,7863.0
2024-07-18 22:00:00+00:00,VCBI,29.74,80.6,7491.0,3845.0,7613.0
2024-07-18 23:00:00+00:00,VCBI,29.74,80.6,7559.0,3986.0,7797.0
2024-07-19 00:00:00+00:00,VCBI,29.74,82.4,7406.0,3859.0,7606.0
2024-07-19 01:00:00+00:00,VCBI,29.77,80.6,7457.0,3783.0,7577.0
2024-07-19 02:00:00+00:00,VCBI,29.8,82.4,7608.0,3941.0,7816.0
2024-07-19 03:00:00+00:00,VCBI,29.8,84.2,7584.0,3887.0,7706.0
2024-07-19 04:00:00+00:00,VCBI,29.8,86.0,7559.0,3994.0,7673.0
2024-07-19 05:00:00+00:00,VCBI,29.8,86.0,7497.0,3815.0,7551.0
2024-07-19 06:00:00+00:00,VCBI,29.77,87.8,7490.0,3833.0,7655.0
