,counts
2024-07-15 20:00:00+00:00,10704.0
2024-07-15 21:00:00+00:00,10878.0
2024-07-15 22:00:00+00:00,10622.0
2024-07-15 23:00:00+00:00,10863.0
2024-07-16 00:00:00+00:00,10657.0
2024-07-16 01:00:00+00:00,10679.0
2024-07-16 02:00:00+00:00,10583.0
2024-07-16 03:00:00+00:00,10566.0
2024-07-16 04:00:00+00:00,10643.0
2024-07-16 05:00:00+00:00,10748.0
2024-07-16 06:00:00+00:00,10723.0
2024-07-16 07:00:00+00:00,10787.0
2024-07-16 08:00:00+00:00,10799.0
2024-07-16 09:00:00+00:00,10848.0
2024-07-16 10:00:00+00:00,10612.0
2024-07-16 11:00:00+00:00,10840.0
2024-07-16 12:00:00+00:00,10724.0
2024-07-16 13:00:00+00:00,10739.0
2024-07-16 14:00:00+00:00,10594.0
2024-07-16 15:00:00+00:00,10699.0
2024-07-16 16:00:00+00:00,10795.0
2024-07-16 17:00:00+00:00,10769.0
2024-07-16 18:00:00+00:00,10699.0
2024-07-16 19:00:00+00:00,10817.0
2024-07-16 20:00:00+00:00,10732.0
2024-07-16 21:00:00+00:00,10773.0
2024-07-16 22:00:00+00:00,10655.0
2024-07-16 23:00:00+00:00,10687.0
2024-07-17 00:00:00+00:00,10764.0
2024-07-17 01:00:00+00:00,10614.0
2024-07-17 02:00:00+00:00,10563.0
2024-07-17 03:00:00+00:00,10921.0
2024-07-17 04:00:00+00:00,10859.0
2024-07-17 05:00:00+00:00,10537.0
2024-07-17 06:00:00+00:00,10668.0
2024-07-17 07:00:00+00:00,10704.0
2024-07-17 08:00:00+00:00,10552.0
2024-07-17 09:00:00+00:00,10919.0
2024-07-17 10:00:00+00:00,10699.0
2024-07-17 11:00:00+00:00,10754.0
2024-07-17 12:00:00+00:00,10653.0
2024-07-17 13:00:00+00:00,10744.0
2024-07-17 14:00:00+00:00,10768.0
2024-07-17 15:00:00+00:00,10412.0
2024-07-17 16:00:00+00:00,10589.0
2024-07-17 17:00:00+00:00,10866.0
2024-07-17 18:00:00+00:00,10826.0
2024-07-17 19:00:00+00:00,10805.0
2024-07-17 20:00:00+00:00,10839.0
2024-07-17 21:00:00+00:00,10827.0
2024-07-17 22:00:00+00:00,10740.0
2024-07-17 23:00:00+00:00,10800.0
2024-07-18 00:00:00+00:00,10667.0
2024-07-18 01:00:00+00:00,10663.0
2024-07-18 02:00:00+00:00,10702.0
2024-07-18 03:00:00+00:00,10772.0
2024-07-18 04:00:00+00:00,10704.0
2024-07-18 05:00:00+00:00,10731.0
