date,mslp,tmpf,counts
2024-03-25 01:00:00+00:00,1019.1,57.0,5011.0
2024-03-25 02:00:00+00:00,1019.4,55.0,4787.0
2024-03-25 03:00:00+00:00,1019.6,55.0,5068.0
2024-03-25 04:00:00+00:00,1019.9,53.0,5133.0
2024-03-25 05:00:00+00:00,1020.4,53.0,4948.0
2024-03-25 06:00:00+00:00,1020.4,51.0,4992.0
2024-03-25 07:00:00+00:00,1020.3,50.0,4826.0
2024-03-25 08:00:00+00:00,1020.8,49.0,4978.0
2024-03-25 09:00:00+00:00,1021.0,48.0,5086.0
2024-03-25 10:00:00+00:00,1020.9,47.0,5025.0
2024-03-25 11:00:00+00:00,1021.0,47.0,4952.0
2024-03-25 12:00:00+00:00,1021.5,47.0,5072.0
2024-03-25 13:00:00+00:00,1022.3,48.0,5094.0
2024-03-25 14:00:00+00:00,1022.1,51.0,5168.0
2024-03-25 15:00:00+00:00,1022.1,54.0,5075.0
2024-03-25 16:00:00+00:00,1021.1,56.0,5066.0
2024-03-25 17:00:00+00:00,1019.7,60.0,5030.0
2024-03-25 18:00:00+00:00,1019.0,61.0,5075.0
2024-03-25 19:00:00+00:00,1018.2,64.0,5173.0
2024-03-25 20:00:00+00:00,1017.5,63.0,4982.0
2024-03-25 21:00:00+00:00,1017.1,62.0,5138.0
2024-03-25 22:00:00+00:00,1017.0,62.0,5038.0
2024-03-25 23:00:00+00:00,1016.0,60.0,5217.0
2024-03-26 00:00:00+00:00,1015.5,59.0,5071.0
2024-03-26 01:00:00+00:00,1016.5,58.0,5044.0
2024-03-26 02:00:00+00:00,1015.9,58.0,5079.0
2024-03-26 03:00:00+00:00,1015.1,57.0,5023.0
2024-03-26 04:00:00+00:00,1015.3,58.0,5035.0
2024-03-26 05:00:00+00:00,1015.3,58.0,4983.0
2024-03-26 06:00:00+00:00,1014.4,58.0,5002.0
2024-03-26 07:00:00+00:00,1013.7,58.0,4928.0
2024-03-26 08:00:00+00:00,1013.4,58.0,5145.0
2024-03-26 09:00:00+00:00,1012.7,58.0,5080.0
2024-03-26 10:00:00+00:00,1012.7,58.0,5083.0
2024-03-26 11:00:00+00:00,1013.4,58.0,5022.0
2024-03-26 12:00:00+00:00,1013.1,58.0,5164.0
2024-03-26 13:00:00+00:00,1012.3,59.0,5001.0
2024-03-26 14:00:00+00:00,1012.0,60.0,5104.0
2024-03-26 15:00:00+00:00,1011.8,62.0,4951.0
2024-03-26 16:00:00+00:00,1011.2,62.0,4991.0
2024-03-26 17:00:00+00:00,1011.7,61.0,5013.0
2024-03-26 18:00:00+00:00,1012.5,62.0,5028.0
2024-03-26 19:00:00+00:00,1012.4,62.0,5144.0
2024-03-26 20:00:00+00:00,1012.2,62.0,5121.0
2024-03-26 21:00:00+00:00,1012.4,60.0,5045.0
2024-03-26 22:00:00+00:00,1010.6,61.0,5083.0
2024-03-26 23:00:00+00:00,1011.4,60.0,5081.0
2024-03-27 00:00:00+00:00,1012.2,59.0,4985.0
2024-03-27 01:00:00+00:00,1013.2,56.0,5063.0
2024-03-27 02:00:00+00:00,1013.3,56.0,4904.0
2024-03-27 03:00:00+00:00,1013.1,54.0,5096.0
2024-03-27 04:00:00+00:00,1013.0,53.0,5070.0
2024-03-27 05:00:00+00:00,1012.9,53.0,5011.0
2024-03-27 06:00:00+00:00,1013.2,53.0,5005.0
2024-03-27 07:00:00+00:00,1012.9,54.0,5043.0
2024-03-27 08:00:00+00:00,1012.3,54.0,5061.0
2024-03-27 09:00:00+00:00,1012.7,54.0,4993.0
2024-03-27 10:00:00+00:00,1013.3,54.0,5196.0
2024-03-27 11:00:00+00:00,1013.8,54.0,5048.0
2024-03-27 12:00:00+00:00,1014.2,55.0,5116.0
2024-03-27 13:00:00+00:00,1014.3,55.0,5193.0
2024-03-27 14:00:00+00:00,1015.7,58.0,5085.0
2024-03-27 15:00:00+00:00,1016.0,63.0,5129.0
2024-03-27 16:00:00+00:00,1015.6,67.0,5179.0
