date,Zero and One,Zero and Two,Zero and Three,One and Two,One and Three,Two and Three,Zero,One,Two,Three,
2024-07-21T05:28:11.699Z,0,0,0,61,25,51,0,522,421,457,
2024-07-21T05:29:11.703Z,0,0,0,53,22,41,0,528,433,426,
2024-07-21T05:30:11.705Z,0,0,0,42,20,36,0,481,411,422,
2024-07-21T05:31:11.706Z,0,0,0,49,18,39,0,539,403,405,
2024-07-21T05:32:11.707Z,0,0,0,49,26,47,0,524,396,437,
2024-07-21T05:33:11.707Z,0,0,0,49,19,41,0,538,380,370,
2024-07-21T05:34:11.709Z,0,0,0,47,15,39,0,520,385,421,
2024-07-21T05:35:11.710Z,0,0,0,34,16,32,0,495,355,396,
2024-07-21T05:36:11.711Z,0,0,0,47,23,37,0,504,357,407,
2024-07-21T05:37:11.712Z,0,0,0,51,16,31,0,480,363,373,
2024-07-21T05:38:11.713Z,0,0,0,42,19,32,0,489,327,411,
2024-07-21T05:39:11.713Z,0,0,0,38,16,36,0,447,369,426,
2024-07-21T05:40:11.714Z,0,0,0,42,12,32,0,466,366,413,
2024-07-21T05:41:11.714Z,0,0,0,54,19,37,0,496,390,402,
2024-07-21T05:42:11.714Z,0,0,0,40,14,33,0,514,388,405,
2024-07-21T05:43:11.715Z,0,0,0,48,20,37,0,488,381,395,
2024-07-21T05:44:11.716Z,0,0,0,45,20,34,0,461,358,411,
2024-07-21T05:45:11.717Z,0,0,0,46,10,45,0,499,371,403,
2024-07-21T05:46:11.717Z,0,0,0,53,22,33,0,498,368,426,
2024-07-21T05:47:11.718Z,0,0,0,52,17,34,0,526,369,406,
2024-07-21T05:48:11.719Z,0,0,0,36,16,35,0,442,353,366,
2024-07-21T05:49:11.720Z,0,0,0,48,15,37,0,483,370,434,
2024-07-21T05:50:11.721Z,0,0,0,45,18,42,0,474,391,415,
2024-07-21T05:51:11.722Z,0,0,0,40,9,32,0,482,366,361,
2024-07-21T05:52:11.722Z,0,0,0,46,10,26,0,475,362,371,
2024-07-21T05:53:11.724Z,0,0,0,45,14,33,0,462,418,386,
2024-07-21T05:54:11.724Z,0,0,0,50,15,36,0,458,375,379,
2024-07-21T05:55:11.725Z,0,0,0,40,20,33,0,501,357,398,
2024-07-21T05:56:11.727Z,0,0,0,46,9,18,0,508,340,376,
2024-07-21T05:57:11.727Z,0,0,0,30,12,31,0,503,370,409,
2024-07-21T05:58:11.728Z,0,0,0,35,16,33,0,459,317,413,
2024-07-21T05:59:11.728Z,0,0,0,42,14,33,0,491,384,371,
2024-07-21T06:00:11.730Z,0,0,0,49,20,47,0,510,390,383,
2024-07-21T06:01:11.730Z,0,0,0,40,9,34,0,530,375,354,
2024-07-21T06:02:11.732Z,0,0,0,37,17,31,0,501,352,383,
2024-07-21T06:03:11.732Z,0,0,0,38,23,43,0,479,365,397,
2024-07-21T06:04:11.734Z,0,0,0,39,14,36,0,477,345,355,
2024-07-21T06:05:11.735Z,0,0,0,43,15,32,0,462,378,417,
2024-07-21T06:06:11.736Z,0,0,0,40,11,29,0,481,327,415,
2024-07-21T06:07:11.737Z,0,0,0,41,16,54,0,495,365,435,
2024-07-21T06:08:11.737Z,0,0,0,43,22,37,0,519,376,382,
2024-07-21T06:09:11.739Z,0,0,0,44,17,47,0,460,361,381,
2024-07-21T06:10:11.740Z,0,0,0,37,7,31,0,493,372,408,
2024-07-21T06:11:11.740Z,0,0,0,49,11,36,0,486,366,371,
2024-07-21T06:12:11.742Z,0,0,0,43,16,37,0,444,383,391,
2024-07-21T06:13:11.743Z,0,0,0,51,17,40,0,494,354,378,
2024-07-21T06:14:11.743Z,0,0,0,43,21,43,0,490,373,420,
2024-07-21T06:15:11.744Z,0,0,0,40,24,49,0,513,406,407,
2024-07-21T06:16:11.745Z,0,0,0,32,13,31,0,486,373,377,
2024-07-21T06:17:11.745Z,0,0,0,52,14,34,0,485,381,404,
2024-07-21T06:18:11.745Z,0,0,0,44,16,29,0,493,382,392,
2024-07-21T06:19:11.747Z,0,0,0,51,11,35,0,448,391,353,
2024-07-21T06:20:11.754Z,0,0,0,38,11,33,0,481,335,376,
2024-07-21T06:21:11.757Z,0,0,0,54,21,29,0,525,358,373,
2024-07-21T06:22:11.757Z,0,0,0,44,16,36,0,530,389,393,
2024-07-21T06:23:11.759Z,0,0,0,44,14,37,0,478,360,429,
2024-07-21T06:24:11.759Z,0,0,0,43,17,37,0,475,361,417,
2024-07-21T06:25:11.760Z,0,0,0,49,23,52,0,471,397,423,
2024-07-21T06:26:11.760Z,0,0,0,48,10,32,0,493,340,366,
2024-07-21T06:27:11.761Z,0,0,0,55,17,38,0,476,412,404,
2024-07-21T06:28:11.761Z,0,0,0,37,14,33,0,470,359,396,
2024-07-21T06:29:11.762Z,0,0,0,45,19,38,0,472,364,390,
2024-07-21T06:30:11.763Z,0,0,0,46,21,25,0,454,360,381,
2024-07-21T06:31:11.763Z,0,0,0,45,19,37,0,465,350,383,
2024-07-21T06:32:11.763Z,0,0,0,47,20,46,0,504,385,429,
2024-07-21T06:33:11.764Z,0,0,0,44,14,40,0,505,407,445,
2024-07-21T06:34:11.764Z,0,0,0,52,12,39,0,531,385,399,
2024-07-21T06:35:11.765Z,0,0,0,46,24,45,0,514,355,421,
2024-07-21T06:36:11.765Z,0,0,0,52,18,32,0,489,373,376,
2024-07-21T06:37:11.767Z,0,0,0,32,13,42,0,492,376,401,
2024-07-21T06:38:11.768Z,0,0,0,51,28,46,0,472,388,391,
2024-07-21T06:39:11.769Z,0,0,0,39,11,37,0,500,377,391,
2024-07-21T06:40:11.770Z,0,0,0,41,10,28,0,484,349,385,
2024-07-21T06:41:11.770Z,0,0,0,36,15,31,0,481,357,365,
2024-07-21T06:42:11.771Z,0,0,0,54,15,48,0,474,387,422,
2024-07-21T06:43:11.772Z,0,0,0,47,15,38,0,522,356,404,
2024-07-21T06:44:11.774Z,0,0,0,44,20,50,0,509,391,419,
2024-07-21T06:45:11.775Z,0,0,0,53,15,36,0,480,360,408,
2024-07-21T06:46:11.776Z,0,0,0,53,17,34,0,469,399,380,
2024-07-21T06:47:11.777Z,0,0,0,59,21,39,0,529,371,397,
2024-07-21T06:48:11.777Z,0,0,0,33,14,43,0,484,387,399,
2024-07-21T06:49:11.779Z,0,0,0,42,17,39,0,448,374,433,
2024-07-21T06:50:11.780Z,0,0,0,38,12,37,0,514,396,421,
2024-07-21T06:51:11.781Z,0,0,0,53,21,43,0,523,375,423,
2024-07-21T06:52:11.782Z,0,0,0,47,15,35,0,476,361,418,
2024-07-21T06:53:11.783Z,0,0,0,41,17,32,0,477,366,402,
2024-07-21T06:54:11.783Z,0,0,0,47,14,33,0,498,394,386,
2024-07-21T06:55:11.785Z,0,0,0,41,18,31,0,487,365,404,
2024-07-21T06:56:11.786Z,0,0,0,52,23,29,0,479,410,415,
2024-07-21T06:57:11.787Z,0,0,0,41,17,32,0,484,394,416,
2024-07-21T06:58:11.787Z,0,0,0,51,17,31,0,491,378,398,
2024-07-21T06:59:11.787Z,0,0,0,40,21,47,0,501,345,415,
2024-07-21T07:00:11.787Z,0,0,0,58,18,49,0,494,399,395,
2024-07-21T07:01:11.788Z,0,0,0,59,21,39,0,509,364,431,
2024-07-21T07:02:11.788Z,0,0,0,39,19,40,0,526,407,400,
2024-07-21T07:03:11.790Z,0,0,0,48,16,37,0,515,367,442,
2024-07-21T07:04:11.790Z,0,0,0,46,14,37,0,484,380,377,
2024-07-21T07:05:11.792Z,0,0,0,45,21,40,0,532,375,404,
2024-07-21T07:06:11.792Z,0,0,0,54,14,25,0,521,390,413,
2024-07-21T07:07:11.793Z,0,0,0,43,17,42,0,505,385,440,
2024-07-21T07:08:11.795Z,0,0,0,55,26,53,0,487,397,417,
2024-07-21T07:09:11.795Z,0,0,0,34,8,29,0,485,370,362,
2024-07-21T07:10:11.798Z,0,0,0,49,15,47,0,511,407,427,
2024-07-21T07:11:11.799Z,0,0,0,39,11,32,0,439,369,405,
2024-07-21T07:12:11.800Z,0,0,0,54,28,37,0,512,390,403,
2024-07-21T07:13:11.801Z,0,0,0,37,12,40,0,491,389,394,
2024-07-21T07:14:11.802Z,0,0,0,46,14,30,0,478,371,389,
2024-07-21T07:15:11.803Z,0,0,0,56,11,37,0,501,381,421,
2024-07-21T07:16:11.804Z,0,0,0,55,18,48,0,506,382,437,
2024-07-21T07:17:11.805Z,0,0,0,48,18,37,0,523,395,400,
2024-07-21T07:18:11.806Z,0,0,0,40,12,28,0,472,357,372,
2024-07-21T07:19:11.806Z,0,0,0,53,22,39,0,514,408,426,
2024-07-21T07:20:11.808Z,0,0,0,47,16,35,0,519,392,409,
2024-07-21T07:21:11.808Z,0,0,0,51,16,33,0,487,390,401,
2024-07-21T07:22:11.808Z,0,0,0,32,11,35,0,492,377,377,
2024-07-21T07:23:11.810Z,0,0,0,32,17,42,0,467,344,400,
2024-07-21T07:24:11.811Z,0,0,0,45,15,42,0,488,391,430,
2024-07-21T07:25:11.812Z,0,0,0,50,16,33,0,515,366,394,
2024-07-21T07:26:11.813Z,0,0,0,47,15,34,0,487,394,426,
2024-07-21T07:27:11.814Z,0,0,0,49,19,37,0,506,374,355,
2024-07-21T07:28:11.815Z,0,0,0,46,17,43,0,501,393,412,
2024-07-21T07:29:11.816Z,0,0,0,48,17,33,0,478,401,412,
2024-07-21T07:30:11.817Z,0,0,0,49,20,43,0,475,375,451,
2024-07-21T07:31:11.817Z,0,0,0,39,26,52,0,474,385,378,
2024-07-21T07:32:11.818Z,0,0,0,41,19,37,0,506,372,383,
2024-07-21T07:33:11.818Z,0,0,0,56,15,49,0,518,406,433,
2024-07-21T07:34:11.820Z,0,0,0,40,25,44,0,524,395,401,
2024-07-21T07:35:11.821Z,0,0,0,48,21,49,0,522,406,432,
2024-07-21T07:36:11.821Z,0,0,0,49,16,47,0,474,374,433,
2024-07-21T07:37:11.823Z,0,0,0,37,19,38,0,488,371,418,
2024-07-21T07:38:11.863Z,0,0,0,43,13,33,0,475,383,386,
2024-07-21T07:39:11.877Z,0,0,0,45,17,40,0,489,374,396,
2024-07-21T07:40:11.882Z,0,0,0,48,21,48,0,546,416,432,
2024-07-21T07:41:11.883Z,0,0,0,45,15,41,0,488,418,384,
2024-07-21T07:42:11.884Z,0,0,0,58,22,42,0,478,423,394,
2024-07-21T07:43:11.885Z,0,0,0,48,16,37,0,514,377,425,
2024-07-21T07:44:11.886Z,0,0,0,58,22,52,0,511,390,401,
2024-07-21T07:45:11.887Z,0,0,0,42,14,39,0,486,384,432,
